id,cp,ville,result_label,result_score,result_type,latitude,longitude
fvm_0004,49430,DURTAL,Durtal,0.9410436363636362,municipality,47.680898,-0.257065
fvm_0005,49220,LE LION D ANGERS,Le Lion-d'Angers,0.9431554545454545,municipality,47.630882,-0.741338
fvm_0015,49250,SEGRÉ EN ANJOU,La Herse 49250 Beaufort-en-Anjou,0.36301350649350644,street,47.404889,-0.192804
fvm_0022,44702,Orvault,,,,,
fvm_0043,,,,,,,
fvm_0047,71100,,,,,,
fvm_0048,59180,CAPPELLE LA GRANDE,Cappelle-la-Grande,0.9448572727272726,municipality,50.999127,2.372913
fvm_0058,27930,LA CHAPELLE,Rue de la Chapelle 27930 Saint-Luc,0.5677957219251337,street,48.974142,1.23267
fvm_0081,29570,Camaret,Camaret-sur-Mer,0.42017493506493503,municipality,48.271557,-4.58517
fvm_0087,67880,Krautergersheim,Krautergersheim,0.9381272727272727,municipality,48.476533,7.568064
fvm_0094,28260,,,,,,
fvm_0153,30350,ST BENEZET,Saint-Bénézet,0.580266013986014,municipality,43.992935,4.135616
fvm_0157,30290,LA ROUVIERE,,,,,
fvm_0219,77320,Jouy S/Morin,Jouy-sur-Morin,0.679407012987013,municipality,48.799717,3.275494
fvm_0247,12300,La Primaube,,,,,
fvm_0258,61104,FLERS,,,,,
fvm_0269,57245,PELTRE,Peltre,0.9381499999999999,municipality,49.077308,6.229551
fvm_0270,57070,Metz,Metz,0.9573536363636362,municipality,49.108385,6.194891
fvm_0272,57130,VERNEVILLE,Vernéville,0.93399,municipality,49.14318,6.008549
fvm_0292,13016,Marseille,Marseille,0.9663454545454545,municipality,43.282,5.405
fvm_0296,30000,NÎMES,Nîmes,0.9583272727272726,municipality,43.814652,4.356289
fvm_0299,13650,Meyrargues,Meyrargues,0.9416236363636363,municipality,43.640694,5.514471
fvm_0303,54320,MAXEVILLE,Maxéville,0.9460045454545454,municipality,48.707941,6.147492
fvm_0320,34070,MONTPELLIER,Montpellier,0.9615745454545455,municipality,43.610476,3.87048
fvm_0323,13920,Aix,,,,,
fvm_0326,71500,Louhans,Route de Louhans 71500 Saint-Usuge,0.4051490909090909,street,46.671725,5.24856
fvm_0348,12000,Villefranche-de-Rouergue,Avenue du Rouergue 12000 Rodez,0.384715614973262,street,44.36429,2.56068
fvm_0352,12170,Requiste,Réquista,0.7112054545454545,municipality,44.035601,2.533862
fvm_0373,14000,BAYEUX,Rue de Bayeux 14000 Caen,0.4514460606060606,street,49.183258,-0.383463
fvm_0380,30300,TRESQUES,,,,,
fvm_0382,30123,LE VIGAN CEDEX,,,,,
fvm_0384,34534,BEZIERS CEDEX,,,,,
fvm_0386,34700,LODEVE,Lodève,0.9445027272727272,municipality,43.731146,3.313903
fvm_0398,50000,Saint-Lô,Saint-Lô,0.948991818181818,municipality,49.113843,-1.080182
fvm_0413,44805,St Herblain Cedex,,,,,
fvm_0427,80600,DOULLENS,Doullens,0.9434499999999999,municipality,50.16229,2.351045
fvm_0437,59223,RONCQ,Roncq,0.9475172727272727,municipality,50.745084,3.116387
fvm_0469,29820,Guilers,Guilers,0.9450990909090908,municipality,48.420019,-4.559732
fvm_0484,67026,Strasbourg,,,,,
fvm_0491,33450,SAINT-LOUBES,Saint-Loubès,0.9459763636363635,municipality,44.922032,-0.430094
fvm_0493,69007,Lyon,Lyon,0.9639145454545454,municipality,45.758,4.835
fvm_0504,35470,PLECHATEL,Pléchâtel,0.9402345454545453,municipality,47.875884,-1.719245
fvm_0518,55230,SPINCOURT,Spincourt,0.9346272727272726,municipality,49.337087,5.708244
fvm_0546,30100,ALES,Alès,0.9529118181818181,municipality,44.125356,4.089242
fvm_0565,44152,Ancenis,,,,,
fvm_0575,67026,STRASBOURG,,,,,
fvm_0603,49340,TREMENTINES,Trémentines,0.9406445454545455,municipality,47.124726,-0.798958
fvm_0604,38760,Varces,Pied de Varces 38760 Varces-Allières-et-Risset,0.3889576223776224,locality,45.086756,5.683592
fvm_0605,31500,Bruguières,Rue Jonquières 31500 Toulouse,0.41422999999999993,street,43.603123,1.462521
fvm_0611,39570,Lons-le-Saunier,Route de Lons le Saunier 39570 Gevingey,0.5899233201581028,street,46.641078,5.501018
fvm_0630,69630,Vénissieux,,,,,
fvm_0631,43000,POLIGNAC,Polignac,0.9402118181818181,municipality,45.071451,3.858056
fvm_0649,67026,STRASBOURG,,,,,
fvm_0661,49340,TREMENTINES,Trémentines,0.9406445454545455,municipality,47.124726,-0.798958
fvm_0664,31500,Bruguières,Rue Jonquières 31500 Toulouse,0.41422999999999993,street,43.603123,1.462521
fvm_0674,39570,Lons-le-Saunier,Route de Lons le Saunier 39570 Gevingey,0.5899233201581028,street,46.641078,5.501018
fvm_0683,35200,Mordelles,Allée des Açores 35200 Rennes,0.3220443434343434,street,48.082797,-1.670572
fvm_0696,69630,Vénissieux,,,,,
fvm_0700,43000,POLIGNAC,Polignac,0.9402118181818181,municipality,45.071451,3.858056
